"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2025","0.6432","0.6545","0.6581","0.6423","","-1.74%"
"10/01/2025","0.6546","0.6613","0.6630","0.6440","","-1.03%"
"09/01/2025","0.6614","0.6538","0.6708","0.6483","","1.12%"
"08/01/2025","0.6541","0.6426","0.6570","0.6414","","1.79%"
"07/01/2025","0.6426","0.6577","0.6626","0.6424","","-2.36%"
"06/01/2025","0.6581","0.6435","0.6584","0.6372","","2.32%"
"05/01/2025","0.6432","0.6399","0.6539","0.6356","","0.45%"
"04/01/2025","0.6403","0.6247","0.6451","0.5914","","2.48%"
"03/01/2025","0.6248","0.6207","0.6392","0.6187","","0.63%"
"02/01/2025","0.6209","0.6211","0.6410","0.6087","","-0.05%"
"01/01/2025","0.6212","0.6188","0.6332","0.6131","","0.40%"
"12/01/2024","0.6187","0.6516","0.6527","0.6179","","-4.96%"
"11/01/2024","0.6510","0.6583","0.6689","0.6434","","-1.08%"
"10/01/2024","0.6581","0.6913","0.6936","0.6536","","-4.80%"
"09/01/2024","0.6913","0.6773","0.6943","0.6622","","2.20%"
"08/01/2024","0.6764","0.6538","0.6823","0.6346","","3.43%"
"07/01/2024","0.6540","0.6668","0.6800","0.6478","","-1.90%"
"06/01/2024","0.6667","0.6653","0.6705","0.6575","","0.23%"
"05/01/2024","0.6652","0.6473","0.6715","0.6464","","2.78%"
"04/01/2024","0.6472","0.6521","0.6646","0.6362","","-0.75%"
"03/01/2024","0.6521","0.6500","0.6669","0.6477","","0.40%"
"02/01/2024","0.6495","0.6567","0.6611","0.6442","","-1.07%"
"01/01/2024","0.6565","0.6811","0.6841","0.6525","","-3.60%"
"12/01/2023","0.6810","0.6606","0.6873","0.6525","","3.10%"
"11/01/2023","0.6605","0.6336","0.6678","0.6317","","4.25%"
"10/01/2023","0.6336","0.6431","0.6446","0.6270","","-1.52%"
"09/01/2023","0.6434","0.6482","0.6522","0.6331","","-0.76%"
"08/01/2023","0.6483","0.6718","0.6725","0.6364","","-3.53%"
"07/01/2023","0.6720","0.6666","0.6896","0.6599","","0.81%"
"06/01/2023","0.6666","0.6503","0.6901","0.6484","","2.55%"
"05/01/2023","0.6500","0.6610","0.6819","0.6457","","-1.62%"
"04/01/2023","0.6607","0.6690","0.6807","0.6572","","-1.17%"
"03/01/2023","0.6685","0.6729","0.6785","0.6564","","-0.64%"
"02/01/2023","0.6728","0.7057","0.7158","0.6697","","-4.62%"
"01/01/2023","0.7054","0.6814","0.7143","0.6687","","3.54%"
"12/01/2022","0.6813","0.6785","0.6895","0.6628","","0.40%"
"11/01/2022","0.6786","0.6399","0.6801","0.6271","","6.08%"
"10/01/2022","0.6397","0.6410","0.6549","0.6170","","-0.08%"
"09/01/2022","0.6402","0.6841","0.6917","0.6363","","-6.39%"
"08/01/2022","0.6839","0.6982","0.7138","0.6834","","-2.09%"
"07/01/2022","0.6985","0.6903","0.7033","0.6681","","1.22%"
"06/01/2022","0.6901","0.7176","0.7283","0.6851","","-3.79%"
"05/01/2022","0.7173","0.7072","0.7268","0.6829","","1.56%"
"04/01/2022","0.7063","0.7482","0.7663","0.7054","","-5.57%"
"03/01/2022","0.7480","0.7261","0.7541","0.7164","","3.00%"
"02/01/2022","0.7262","0.7069","0.7286","0.7032","","2.80%"
"01/01/2022","0.7064","0.7262","0.7315","0.6967","","-2.70%"
"12/01/2021","0.7260","0.7126","0.7278","0.6992","","1.92%"
"11/01/2021","0.7123","0.7509","0.7538","0.7063","","-5.29%"
"10/01/2021","0.7521","0.7225","0.7556","0.7192","","4.08%"
"09/01/2021","0.7226","0.7316","0.7479","0.7169","","-1.22%"
"08/01/2021","0.7315","0.7341","0.7427","0.7106","","-0.39%"
"07/01/2021","0.7344","0.7498","0.7600","0.7289","","-2.05%"
"06/01/2021","0.7498","0.7735","0.7776","0.7476","","-3.05%"
"05/01/2021","0.7734","0.7717","0.7892","0.7675","","0.23%"
"04/01/2021","0.7716","0.7597","0.7818","0.7531","","1.58%"
"03/01/2021","0.7596","0.7713","0.7850","0.7563","","-1.41%"
"02/01/2021","0.7705","0.7640","0.8008","0.7563","","0.82%"
"01/01/2021","0.7642","0.7695","0.7821","0.7592","","-0.68%"
"12/01/2020","0.7694","0.7345","0.7743","0.7340","","4.75%"
"11/01/2020","0.7345","0.7034","0.7408","0.6991","","4.54%"
"10/01/2020","0.7026","0.7163","0.7244","0.7002","","-1.89%"
"09/01/2020","0.7161","0.7377","0.7415","0.7006","","-2.90%"
"08/01/2020","0.7375","0.7146","0.7404","0.7075","","3.26%"
"07/01/2020","0.7142","0.6903","0.7229","0.6877","","3.48%"
"06/01/2020","0.6902","0.6657","0.7063","0.6646","","3.54%"
"05/01/2020","0.6666","0.6511","0.6684","0.6371","","2.40%"
"04/01/2020","0.6510","0.6133","0.6571","0.5979","","6.11%"
"03/01/2020","0.6135","0.6488","0.6686","0.5507","","-5.75%"
"02/01/2020","0.6509","0.6690","0.6776","0.6434","","-2.72%"
"01/01/2020","0.6691","0.7021","0.7031","0.6682","","-4.70%"
"12/01/2019","0.7021","0.6761","0.7033","0.6755","","3.80%"
"11/01/2019","0.6764","0.6894","0.6930","0.6753","","-1.87%"
"10/01/2019","0.6893","0.6750","0.6931","0.6670","","2.13%"
"09/01/2019","0.6749","0.6722","0.6895","0.6687","","0.19%"
"08/01/2019","0.6736","0.6845","0.6870","0.6676","","-1.58%"
"07/01/2019","0.6844","0.7024","0.7084","0.6831","","-2.51%"
"06/01/2019","0.7020","0.6934","0.7024","0.6830","","1.18%"
"05/01/2019","0.6938","0.7049","0.7063","0.6863","","-1.56%"
"04/01/2019","0.7048","0.7116","0.7207","0.6987","","-0.65%"
"03/01/2019","0.7094","0.7094","0.7169","0.7002","","0.00%"
"02/01/2019","0.7094","0.7276","0.7286","0.7053","","-2.45%"
"01/01/2019","0.7272","0.7048","0.7297","0.6743","","3.16%"
"12/01/2018","0.7049","0.7368","0.7394","0.7016","","-3.64%"
"11/01/2018","0.7315","0.7073","0.7346","0.7071","","3.42%"
"10/01/2018","0.7073","0.7232","0.7239","0.7020","","-2.14%"
"09/01/2018","0.7228","0.7197","0.7315","0.7084","","0.53%"
"08/01/2018","0.7190","0.7427","0.7455","0.7175","","-3.18%"
"07/01/2018","0.7426","0.7395","0.7485","0.7310","","0.32%"
"06/01/2018","0.7402","0.7569","0.7678","0.7324","","-2.18%"
"05/01/2018","0.7567","0.7531","0.7606","0.7412","","0.48%"
"04/01/2018","0.7531","0.7689","0.7814","0.7524","","-1.91%"
"03/01/2018","0.7678","0.7762","0.7918","0.7642","","-1.07%"
"02/01/2018","0.7761","0.8056","0.8069","0.7758","","-3.64%"
"01/01/2018","0.8054","0.7802","0.8137","0.7794","","3.24%"
"12/01/2017","0.7801","0.7567","0.7826","0.7500","","3.11%"
"11/01/2017","0.7566","0.7657","0.7731","0.7531","","-1.16%"
"10/01/2017","0.7655","0.7841","0.7898","0.7624","","-2.27%"
"09/01/2017","0.7833","0.7947","0.8126","0.7799","","-1.42%"
"08/01/2017","0.7946","0.8003","0.8044","0.7807","","-0.70%"
"07/01/2017","0.8002","0.7682","0.8067","0.7570","","4.11%"
"06/01/2017","0.7686","0.7429","0.7714","0.7370","","3.46%"
"05/01/2017","0.7429","0.7460","0.7558","0.7328","","-0.73%"
"04/01/2017","0.7484","0.7620","0.7643","0.7439","","-1.89%"
"03/01/2017","0.7628","0.7657","0.7752","0.7490","","-0.38%"
"02/01/2017","0.7657","0.7586","0.7743","0.7549","","0.98%"
"01/01/2017","0.7583","0.7229","0.7611","0.7163","","5.10%"
"12/01/2016","0.7215","0.7385","0.7527","0.7157","","-2.26%"
"11/01/2016","0.7382","0.7610","0.7781","0.7308","","-2.98%"
"10/01/2016","0.7609","0.7658","0.7736","0.7506","","-0.59%"
"09/01/2016","0.7654","0.7516","0.7735","0.7441","","1.86%"
"08/01/2016","0.7514","0.7593","0.7758","0.7490","","-1.07%"
"07/01/2016","0.7595","0.7449","0.7676","0.7406","","1.95%"
"06/01/2016","0.7450","0.7236","0.7650","0.7201","","3.06%"
"05/01/2016","0.7229","0.7606","0.7721","0.7144","","-4.91%"
"04/01/2016","0.7602","0.7658","0.7837","0.7491","","-0.68%"
"03/01/2016","0.7654","0.7141","0.7724","0.7107","","7.23%"
"02/01/2016","0.7138","0.7088","0.7261","0.6973","","0.79%"
"01/01/2016","0.7082","0.7283","0.7304","0.6826","","-2.65%"
"12/01/2015","0.7275","0.7228","0.7387","0.7095","","0.68%"
"11/01/2015","0.7226","0.7121","0.7286","0.7014","","1.25%"
"10/01/2015","0.7137","0.7021","0.7384","0.6996","","1.71%"
"09/01/2015","0.7017","0.7113","0.7283","0.6895","","-1.31%"
"08/01/2015","0.7110","0.7308","0.7441","0.7054","","-2.63%"
"07/01/2015","0.7302","0.7707","0.7740","0.7234","","-5.22%"
"06/01/2015","0.7704","0.7644","0.7850","0.7587","","0.89%"
"05/01/2015","0.7636","0.7905","0.8163","0.7617","","-3.31%"
"04/01/2015","0.7897","0.7606","0.8077","0.7532","","3.84%"
"03/01/2015","0.7605","0.7839","0.7940","0.7559","","-2.61%"
"02/01/2015","0.7809","0.7735","0.7915","0.7625","","0.55%"
"01/01/2015","0.7766","0.8163","0.8297","0.7719","","-4.92%"
"12/01/2014","0.8168","0.8497","0.8544","0.8087","","-4.01%"
"11/01/2014","0.8509","0.8748","0.8795","0.8479","","-3.24%"
"10/01/2014","0.8794","0.8746","0.8913","0.8642","","0.56%"
"09/01/2014","0.8745","0.9329","0.9402","0.8684","","-6.30%"
"08/01/2014","0.9333","0.9295","0.9376","0.9238","","0.41%"
"07/01/2014","0.9295","0.9434","0.9507","0.9278","","-1.43%"
"06/01/2014","0.9430","0.9315","0.9448","0.9231","","1.30%"
"05/01/2014","0.9309","0.9287","0.9411","0.9202","","0.28%"
"04/01/2014","0.9283","0.9264","0.9463","0.9205","","0.23%"
"03/01/2014","0.9262","0.8910","0.9297","0.8890","","3.76%"
"02/01/2014","0.8926","0.8752","0.9081","0.8730","","1.98%"
"01/01/2014","0.8753","0.8915","0.9089","0.8659","","-1.80%"
"12/01/2013","0.8913","0.9110","0.9171","0.8823","","-2.16%"
"11/01/2013","0.9110","0.9459","0.9545","0.9054","","-3.68%"
"10/01/2013","0.9458","0.9317","0.9757","0.9290","","1.57%"
"09/01/2013","0.9312","0.8941","0.9531","0.8924","","4.68%"
"08/01/2013","0.8896","0.8985","0.9234","0.8848","","-0.94%"
"07/01/2013","0.8980","0.9137","0.9319","0.8939","","-1.71%"
"06/01/2013","0.9136","0.9638","0.9794","0.9112","","-4.54%"
"05/01/2013","0.9570","1.0372","1.0384","0.9528","","-7.71%"
"04/01/2013","1.0369","1.0414","1.0584","1.0221","","-0.46%"
"03/01/2013","1.0417","1.0215","1.0500","1.0115","","2.01%"
"02/01/2013","1.0212","1.0424","1.0460","1.0182","","-2.01%"
"01/01/2013","1.0422","1.0394","1.0601","1.0374","","0.28%"
"12/01/2012","1.0393","1.0430","1.0588","1.0344","","-0.32%"
"11/01/2012","1.0426","1.0376","1.0491","1.0286","","0.51%"
"10/01/2012","1.0373","1.0363","1.0415","1.0148","","-0.04%"
"09/01/2012","1.0377","1.0287","1.0627","1.0165","","0.55%"
"08/01/2012","1.0320","1.0504","1.0615","1.0274","","-1.71%"
"07/01/2012","1.0500","1.0259","1.0541","1.0099","","2.61%"
"06/01/2012","1.0233","0.9726","1.0261","0.9581","","5.20%"
"05/01/2012","0.9727","1.0426","1.0432","0.9671","","-6.68%"
"04/01/2012","1.0423","1.0409","1.0476","1.0224","","0.79%"
"03/01/2012","1.0341","1.0730","1.0820","1.0303","","-3.62%"
"02/01/2012","1.0729","1.0614","1.0859","1.0567","","1.08%"
"01/01/2012","1.0614","1.0217","1.0690","1.0144","","3.80%"
"12/01/2011","1.0225","1.0279","1.0381","0.9860","","-0.49%"
"11/01/2011","1.0275","1.0540","1.0569","0.9662","","-2.47%"
"10/01/2011","1.0535","0.9668","1.0755","0.9388","","9.08%"
