Date,AUD_USD
31-Jan-2000,0.6382
29-Feb-2000,0.6143
31-Mar-2000,0.6055
30-Apr-2000,0.5909
31-May-2000,0.5735
30-Jun-2000,0.5986
31-Jul-2000,0.5822
31-Aug-2000,0.5748
30-Sep-2000,0.5433
31-Oct-2000,0.5148
30-Nov-2000,0.5227
31-Dec-2000,0.5540
31-Jan-2001,0.5466
28-Feb-2001,0.5250
31-Mar-2001,0.4890
30-Apr-2001,0.5088
31-May-2001,0.5100
30-Jun-2001,0.5075
31-Jul-2001,0.5041
31-Aug-2001,0.5342
30-Sep-2001,0.4923
31-Oct-2001,0.5053
30-Nov-2001,0.5200
31-Dec-2001,0.5106
31-Jan-2002,0.5078
28-Feb-2002,0.5164
31-Mar-2002,0.5316
30-Apr-2002,0.5397
31-May-2002,0.5674
30-Jun-2002,0.5648
31-Jul-2002,0.5478
31-Aug-2002,0.5532
30-Sep-2002,0.5435
31-Oct-2002,0.5534
30-Nov-2002,0.5608
31-Dec-2002,0.5662
31-Jan-2003,0.5884
28-Feb-2003,0.6054
31-Mar-2003,0.6036
30-Apr-2003,0.6230
31-May-2003,0.6522
30-Jun-2003,0.6674
31-Jul-2003,0.6529
31-Aug-2003,0.6400
30-Sep-2003,0.6801
31-Oct-2003,0.7046
30-Nov-2003,0.7206
31-Dec-2003,0.7500
31-Jan-2004,0.7644
29-Feb-2004,0.7708
31-Mar-2004,0.7589
30-Apr-2004,0.7220
31-May-2004,0.7143
30-Jun-2004,0.6889
31-Jul-2004,0.6986
31-Aug-2004,0.7011
30-Sep-2004,0.7147
31-Oct-2004,0.7461
30-Nov-2004,0.7775
31-Dec-2004,0.7790
31-Jan-2005,0.7744
28-Feb-2005,0.7905
31-Mar-2005,0.7719
30-Apr-2005,0.7811
31-May-2005,0.7557
30-Jun-2005,0.7637
31-Jul-2005,0.7595
31-Aug-2005,0.7471
30-Sep-2005,0.7615
31-Oct-2005,0.7487
30-Nov-2005,0.7389
31-Dec-2005,0.7337
31-Jan-2006,0.7510
28-Feb-2006,0.7382
31-Mar-2006,0.7159
30-Apr-2006,0.7542
31-May-2006,0.7636
30-Jun-2006,0.7433
31-Jul-2006,0.7658
31-Aug-2006,0.7627
30-Sep-2006,0.7480
31-Oct-2006,0.7692
30-Nov-2006,0.7850
31-Dec-2006,0.7913
31-Jan-2007,0.7720
28-Feb-2007,0.7880
31-Mar-2007,0.8070
30-Apr-2007,0.8268
31-May-2007,0.8244
30-Jun-2007,0.8487
31-Jul-2007,0.8572
31-Aug-2007,0.8214
30-Sep-2007,0.8827
31-Oct-2007,0.9216
30-Nov-2007,0.8865
31-Dec-2007,0.8816
31-Jan-2008,0.8884
29-Feb-2008,0.9466
31-Mar-2008,0.9180
30-Apr-2008,0.9337
31-May-2008,0.9559
30-Jun-2008,0.9626
31-Jul-2008,0.9434
31-Aug-2008,0.8639
30-Sep-2008,0.7996
31-Oct-2008,0.6680
30-Nov-2008,0.6572
31-Dec-2008,0.6928
31-Jan-2009,0.6438
28-Feb-2009,0.6454
31-Mar-2009,0.6873
30-Apr-2009,0.7265
31-May-2009,0.7912
30-Jun-2009,0.8114
31-Jul-2009,0.8281
31-Aug-2009,0.8393
30-Sep-2009,0.8801
31-Oct-2009,0.9161
30-Nov-2009,0.9178
31-Dec-2009,0.8969
29-Jan-2010,0.8909
26-Feb-2010,0.8899
31-Mar-2010,0.9159
30-Apr-2010,0.93
31-May-2010,0.849
30-Jun-2010,0.8523
30-Jul-2010,0.8986
31-Aug-2010,0.8918
30-Sep-2010,0.9667
29-Oct-2010,0.9761
30-Nov-2010,0.9618
31-Dec-2010,1.0163
31-Jan-2011,0.9924
28-Feb-2011,1.0163
31-Mar-2011,1.0334
29-Apr-2011,1.09
31-May-2011,1.0709
30-Jun-2011,1.0739
29-Jul-2011,1.0954
31-Aug-2011,1.0691
30-Sep-2011,0.9781
31-Oct-2011,1.0509
30-Nov-2011,1.0021
30-Dec-2011,1.0156
31-Jan-2012,1.0637
29-Feb-2012,1.0816
30-Mar-2012,1.0402
30-Apr-2012,1.0453
31-May-2012,0.9727
29-Jun-2012,1.0191
31-Jul-2012,1.0526
31-Aug-2012,1.0301
28-Sep-2012,1.0464
31-Oct-2012,1.0378
30-Nov-2012,1.0431
31-Dec-2012,1.0384
31-Jan-2013,1.0394
28-Feb-2013,1.0275
29-Mar-2013,1.0426
30-Apr-2013,1.0368
31-May-2013,0.9649
28-Jun-2013,0.9275
31-Jul-2013,0.9037
30-Aug-2013,0.8947
30-Sep-2013,0.9309
31-Oct-2013,0.949
29-Nov-2013,0.9087
31-Dec-2013,0.8948
31-Jan-2014,0.8763
28-Feb-2014,0.8947
31-Mar-2014,0.9221
30-Apr-2014,0.9287
30-May-2014,0.9319
30-Jun-2014,0.942
31-Jul-2014,0.9324
29-Aug-2014,0.9349
30-Sep-2014,0.8752
31-Oct-2014,0.8805
28-Nov-2014,0.8491
31-Dec-2014,0.8202
30-Jan-2015,0.7781
27-Feb-2015,0.7792
31-Mar-2015,0.7634
30-Apr-2015,0.7981
29-May-2015,0.7663
30-Jun-2015,0.768
31-Jul-2015,0.7294
31-Aug-2015,0.7149
30-Sep-2015,0.701
